Pressure Zone,MNF,Industrial Usage,Reliability
P_CHATSWOOD_RED_5,21.8590271732748,0.206169328,1
P_CHATSWOOD_RED_3,11.6464714867728,0.250829535,1
P_WOOLLAHRA,36.2582249046162,0.274629865,1
P_WAVERLEY_EL_BOOST_1,50.1729189436037,0.280001453,1
P_SUTHERLAND_RED_22,-1810.21422450728,0.345315449,0
P_LOFTUS_REM,11.1786312538329,0.214242387,1
P_LOFTUS_RED_2,22.6023690116043,0.238738146,0
P_LOFTUS_RED_3,27.4809768637532,0.200996269,1
P_HEATHCOTE,4.26989059877217,0.21295981,1
P_SUTHERLAND_RED_11,13.4766173002403,0.207059939,1
P_SUTHERLAND_RED_14,24.2230992570452,0.212863113,1
P_LEUMEAH_REM,9.15280688308763,0.378552223,0
P_CAMPBELLTOWN_SOUTH_REM,-8.46766316028317,0.226948865,1
P_OAK_FLATS_REM,0.0,0.288543235,0
P_DAPTO_RED_2,17.641499879359,0.285920729,1
P_BERKELEY_RED_10,6.77028988607973,0.243828231,1
P_BALGOWNIE_RED_1,10.7240040696553,0.289437806,1
P_MT_KEIRA_REM,0.0,0.363649739,0
P_MANGERTON_RED_1,11.2212453068486,0.270133479,1
P_MANGERTON_REM,0.0,0.371422769,0
P_BERKELEY_RED_7,7.43709817245197,0.314415138,1
P_GERRINGONG_RED_1,10.2239855990562,0.228486875,0
P_KIAMA_RED_2,6.59054108324053,0.373079883,1
P_PENRITH_NORTH,20.4569006312477,0.414314981,1
P_DURAL_EL_RED_1,25.1379871157752,0.407575084,1
P_COWAN_NORTH_REM,-95.3487367664538,0.599785913,1
P_NEWPORT_RED_11,2.02237784278383,0.444363655,0
P_ROUSE_HILL,2.48189215483357,0.414231313,1
P_TOORAH_EL,35.3896733022438,0.425553222,1
P_CRANEBROOK_EL_DMA_1,16.5113831645291,0.541380321,0
P_WARRAGAMBA_NORTH_REM,51.0114665564607,0.436347408,0
P_MINTO_REM,20.2044977331504,0.474996283,0
P_MILPERRA,-19.6126847117363,0.499376958,0
P_RABY_REM,7.95718693854941,0.442539243,0
P_CECIL_PARK_REM,40.5665735916842,0.588418099,0
P_PROSPECT_P/L_GRAV,17.5842833667128,0.421059063,1
P_PROSPECT_HILL_EL_REM,-5.73792311420846,0.409496556,1
P_LEPPINGTON,29.8746953995285,0.489458009,0
P_HERMITAGE_RED_6,15.1518290482554,0.477653232,1
P_CENTENNIAL_PARK,63.9406123387782,0.497985018,1
P_PIPEHEAD_GRAV,25.1910706530032,0.542043908,1
P_NEPEAN,45.7301828517928,0.671956836,1
P_SUTHERLAND_RED_4,28.3043294739501,0.718597184,1
P_CECIL_PARK_RED_1,88.9872900936306,0.65871168,0
P_LEPPINGTON_EL,65.5253877378234,0.605852316,0
P_BOTANY_GRAV,84.5157304775524,0.604991268,1
P_MARSFIELD,348.313295286106,0.720673543,1
P_CROWN_STREET,0.318968686210967,0.68566168,0
P_SUTHERLAND_RED_10,25.9426145599964,0.612889743,1
P_NARELLAN_SOUTH_RED_6,4.09073598019613,0.711457589,1
P_WONGAWILLI_REM,-28.0080605814606,0.645820216,0
P_BERKELEY_REM,2.7011816252575,0.740120369,0
P_DAPTO_REM,0.0,0.733380218,0
P_SADDLEBACK,-211.675235646958,0.728498772,0
P_GERRINGONG_REM,-2465.46611682376,0.62872711,0
P_MINCHINBURY_EL,126.099413253792,1.0,1
P_BERKELEY_RED_15,23.2484225286281,0.880569025,0
